ncalls           , tottime, percall, cumtime , percall, filename:lineno(function)
10600            , 0.009  , 0.000  , 0.029   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:186(_convert_to_type)
5300             , 0.004  , 0.000  , 0.004   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:190(_filter_deprecated_kwargs)
5300             , 0.032  , 0.000  , 0.066   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:243(_validate_cdist_input)
5300             , 0.015  , 0.000  , 0.018   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:1713(_select_weighted_metric)
5300             , 0.098  , 0.000  , 0.279   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:2412(cdist)
5300             , 0.002  , 0.000  , 0.002   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/scipy/spatial/distance.py:128(_args_to_kwargs_xdist)
5585             , 0.251  , 0.000  , 0.251   , 0.000  , {cvtColor}
5585             , 1.682  , 0.000  , 1.682   , 0.000  , {resize}
5586             , 0.016  , 0.000  , 0.016   , 0.000  , {method 'get' of 'cv2.VideoCapture' objects}
5586             , 3.113  , 0.001  , 3.113   , 0.001  , {method 'read' of 'cv2.VideoCapture' objects}
1                , 0.001  , 0.001  , 0.001   , 0.001  , {method 'release' of 'cv2.VideoCapture' objects}
5374             , 0.003  , 0.000  , 0.003   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:39(<listcomp>)
5585             , 0.053  , 0.000  , 43.282  , 0.008  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:32(annotations)
6066             , 1.842  , 0.000  , 31.976  , 0.005  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:175(_draw_skeleton)
1196             , 0.006  , 0.000  , 0.866   , 0.001  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:263(_draw_box)
6066             , 0.312  , 0.000  , 2.713   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:272(_draw_text)
5374             , 0.021  , 0.000  , 1.509   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:337(_draw_fallcount)
5374             , 0.103  , 0.000  , 43.225  , 0.008  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:341(annotations)
6066             , 0.212  , 0.000  , 36.143  , 0.006  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/show/painters.py:399(annotation)
21               , 0.000  , 0.000  , 0.000   , 0.000  , /home/htxsns/anaconda3/lib/python3.7/site-packages/openpifpaf/core/tracker.py:16(register)
